Month Year,Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Mariana Islands,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Jan-07,Jan,22107,2904,16196,14767,62459,17007,9512,1381,72,35013,22775,35,579,6575,48593,15975,10282,8995,125604,16371,3535,0,6505,15028,26569,20147,14657,18806,5808,4225,5517,5357,2901,7431,17343,26262,3028,27085,14180,12099,45570,704,885,12338,3628,20523,59667,8448,1290,169,19338,21114,10363,12821,3032
Feb-07,Feb,21897,3534,18457,14628,62560,18301,8647,1302,1,36440,24453,29,449,8013,43080,15211,8314,9938,127538,15442,3333,9,7355,13668,26009,17475,15023,22320,6563,4133,5915,4960,2914,8578,15750,26192,2871,27058,17968,13573,43391,577,896,13575,3737,22518,66035,8982,1771,140,18803,23241,11339,15219,3422
Mar-07,Mar,19220,4048,17666,12308,75306,20070,10704,1417,4,37115,22363,39,591,8474,51379,17992,9600,10918,127759,14807,4241,2,7439,15587,30605,23521,12448,23960,7617,4390,6704,5626,3371,8115,18217,23536,3335,31297,17015,15445,55043,781,1024,12667,4246,19720,62956,10094,1933,195,21075,25271,11331,19964,3542
Apr-07,Apr,15061,4285,15898,10470,67801,16769,9443,1200,2,32101,17162,40,557,7423,40643,13262,7337,7868,124816,11666,3809,0,6449,13968,25082,20894,9443,20783,7350,3524,5603,5642,2714,7153,17377,18434,3190,25827,14058,13626,45337,529,901,9983,3547,15480,55648,8845,1742,134,16807,23256,9170,15198,3335
May-07,May,14412,3939,13642,9679,86930,17002,8611,1058,45,32487,16682,38,517,6860,40710,11144,5238,6411,125970,11245,3111,0,5346,14890,20746,16077,9182,18594,6747,2944,5583,5013,2655,6704,14925,18741,2627,21922,12662,11473,38977,607,795,9971,2942,14140,54111,8632,1342,117,14956,21372,7754,10065,3166
Jun-07,Jun,15362,3770,15672,10362,83523,15466,8568,988,4,32629,17431,30,478,6624,36530,12081,4670,6544,128745,12485,3058,0,5140,13681,18603,15117,9847,17502,6535,2726,5613,4515,2833,7087,13268,18412,2304,21873,12576,12120,40403,788,717,9537,2920,15879,51525,9135,1137,94,14428,20378,8040,8977,3262
Jul-07,Jul,14290,3825,13783,10567,71837,15460,8092,949,2,29624,16930,33,555,5947,36100,11365,4742,6167,121163,13055,3264,0,5093,13792,19681,15254,10305,15675,5735,2808,4783,4654,2535,6283,14011,17804,2425,21109,11804,10238,38988,652,668,9492,2901,15507,54030,6093,1272,138,15949,18898,8144,9246,2867
Aug-07,Aug,18554,4683,15971,12448,69084,18573,9379,1164,1,33844,20973,38,537,7816,46053,15086,6441,9111,134729,17062,4143,0,6193,14955,23941,22098,13747,22546,7989,4202,5900,5159,2898,7608,16020,23387,3360,22367,15754,12185,47292,806,765,12145,4538,19077,71566,10260,1475,76,21691,22167,10169,14391,3680
Sep-07,Sep,19270,3770,14668,13749,80429,17525,8539,1203,1,32416,19840,29,545,8633,45681,13835,7516,9027,134456,17399,5754,0,5907,13517,26740,27033,12883,24671,9249,4420,5308,6454,2822,7324,20361,21688,4725,24682,14220,15174,45849,709,796,11348,5961,17923,66240,13289,1999,144,22282,22670,10916,18080,3993
Oct-07,Oct,20122,4943,14628,16174,69809,19661,11697,1407,3,35495,24282,51,605,8479,49990,16123,10303,10621,141264,22007,7652,0,7421,14084,30573,29453,16126,28608,10328,5767,5193,6671,3317,8080,21928,25975,6112,27937,17206,12715,52339,745,911,13199,7768,20691,66672,12726,2253,133,20575,25799,13245,20366,3667
Nov-07,Nov,27561,4149,15299,21238,63910,20057,11433,1711,0,38887,27974,43,564,8189,51699,21950,11723,12434,144176,23972,4867,0,8603,12353,32264,19561,23488,27415,7067,5909,5943,5870,3788,8137,21903,30995,4245,36449,18591,13988,55819,608,917,14989,5738,25157,72670,14503,1956,76,24828,23766,16175,19774,3681
Dec-07,Dec,37499,5754,20191,23434,62295,25846,11487,2132,1,50129,39603,36,544,10864,46517,22840,12722,13468,151630,32690,4512,0,8798,9923,31038,21456,28149,33205,9367,6994,8214,5189,3664,10804,21071,37789,4089,38508,23047,19993,53595,719,947,20889,6087,35126,102476,16044,1781,45,30806,28224,15750,16506,5123
Jan-06,Jan,21531,2804,15655,13651,56793,16176,8167,1368,5,34365,31245,25,696,6262,41000,15791,10167,9270,19922,18240,3559,0,6726,10578,27823,17117,15434,18060,6064,4377,6015,4757,2975,6831,13605,26341,2664,25617,15734,12235,39264,671,848,12853,3838,22646,64220,7009,1226,15,19217,19862,10645,12780,3197
Feb-06,Feb,21538,3347,17942,14833,56086,17483,8294,1330,209,34987,32217,29,750,7203,50584,16975,8725,8796,23169,17140,3961,0,7199,9873,29614,19535,15159,19757,6716,3994,6277,4903,2860,8065,13155,26722,2624,30321,17799,13341,41779,648,839,13668,4173,23568,63683,8535,1908,32,20005,21384,12131,16305,3308
Mar-06,Mar,18991,3916,17718,13114,65610,19787,9929,1413,7,35401,30734,25,858,7753,42644,17652,10391,9700,20689,16158,4676,4,7116,12696,34002,23372,12844,19757,7596,4138,7354,6003,3626,8084,14763,25428,3179,31646,15640,15681,50469,758,1017,12430,4217,22220,56992,8736,2091,27,20222,23090,11814,19640,3462
Apr-06,Apr,13751,4057,16031,10064,57810,15906,7842,1091,5,30047,22267,19,679,6898,42889,12413,6654,7022,20703,11967,3779,0,5596,10479,25756,19793,9356,15701,6956,3252,5903,5370,3003,6659,13118,17609,2803,24077,13728,14064,39155,610,772,9208,3470,16863,49767,7450,1766,24,21203,20208,9084,15178,3357
May-06,May,13586,3692,13634,9489,46154,14543,7424,1124,1,29154,21801,25,653,6389,40427,10675,5339,6199,17563,11543,3091,1,4970,9723,22708,15366,8991,13531,6468,2673,5271,4405,2866,5820,13227,17722,2178,21304,11746,11344,34441,659,783,8947,2727,18450,49790,6597,1261,105,14838,19819,7988,10358,2964
Jun-06,Jun,14332,3665,12970,9455,43634,14451,7367,1013,5,28963,23212,25,706,6262,35893,10988,4817,5773,14936,12913,3053,0,5279,10599,19382,14368,9223,13204,6335,2513,5175,4428,2824,6972,12990,17828,2335,20468,12209,11635,33260,770,659,9886,2807,18581,51519,6865,1197,39,16291,19451,8047,8999,3012
Jul-06,Jul,14059,3790,15298,11239,43014,14434,6615,887,0,27812,16505,30,622,5875,32176,10460,4425,6005,58454,13336,2865,3,4753,8906,18924,15253,9831,12860,5688,2525,5132,3790,2353,6371,11791,17174,2366,18476,11421,10303,31458,692,632,9162,2875,16328,52276,7267,1019,198,15635,17023,7632,9068,2780
Aug-06,Aug,17132,4587,18238,13272,51245,18582,7435,1126,6,32099,20404,29,632,7591,47203,13879,6020,7937,113059,16602,4024,0,6209,11886,23703,21345,13709,18467,7194,3650,6331,4915,2744,7662,14746,21914,3470,21898,15002,12108,38133,660,703,11399,3871,20437,65069,8103,1415,185,16139,21053,8732,13136,3387
Sep-06,Sep,20195,3978,18291,14705,45311,18384,7583,1357,1,31977,21196,26,552,9503,46972,15012,8334,9611,120706,19080,5791,1,6598,12414,30089,28160,14707,19785,8996,4597,5514,5993,2854,7585,21106,22525,4414,26050,15855,16005,46540,775,836,12146,5783,18768,71198,9502,2148,139,18200,22308,12569,20250,4209
Oct-06,Oct,20207,4420,18283,16712,45861,19853,8598,1585,2,35579,24715,28,499,9046,49208,16273,10576,10856,121114,21416,7607,4,7946,13508,31582,27809,16285,23995,10086,5660,5839,6493,3323,7863,23039,26424,5308,27343,17170,12812,49449,790,860,12703,7123,19969,67245,8973,2326,131,20120,24436,13915,22311,3814
Nov-06,Nov,28357,3636,16980,20465,48401,20853,8808,1997,3,40416,26500,42,464,7686,48006,21605,11866,12348,126127,22535,5218,2,9812,12912,33698,19741,24460,24345,6639,6602,6011,5816,3826,7867,23232,30759,4208,37218,19018,14211,56941,758,933,15689,5777,25351,73251,10696,2153,155,25763,20995,17319,21432,3695
Dec-06,Dec,39497,5145,23138,23130,57901,24297,9554,2407,8,50928,41105,45,477,10550,50696,23932,14116,15626,135157,31246,5482,11,10003,13574,35147,22853,29088,30912,9032,7240,8141,6286,4064,10542,24243,39578,3887,40714,25419,19966,59565,682,1054,20513,6014,35319,105226,16920,2203,153,31229,25758,18049,19771,5191
Jan-05,Jan,19735,2373,13064,12964,44278,17343,7314,1217,1,28682,18866,31,447,5174,59821,13830,9621,7838,19100,12968,3100,0,5583,9914,24890,13002,12228,16307,5317,3830,4333,4239,2893,6215,11478,21951,2164,23709,14224,11207,34236,709,831,10893,3268,20278,55465,6148,1100,0,16412,14780,9740,10996,2626
Feb-05,Feb,19837,2992,15263,14585,46095,16624,8533,1278,0,29067,21168,44,511,6837,47431,15683,8945,8075,21806,13897,3422,0,6788,8708,29158,15838,13610,18694,6594,3718,4961,4109,2870,7668,11978,23501,2483,28879,16811,13190,39452,725,774,12921,3970,22338,57945,6667,1651,0,18371,17687,11980,15796,3175
Mar-05,Mar,17914,3562,14747,12240,51971,18340,9892,1421,1,28137,19820,37,681,6635,51660,16154,9945,7858,19902,12256,3857,0,7066,10764,33963,20694,10450,18007,6987,3769,5330,4709,3464,7361,12567,21719,2863,29211,13650,14393,48806,780,1018,12183,3878,21708,54254,7436,1739,0,19384,18507,11682,19334,3118
Apr-05,Apr,14099,3843,13659,10027,49679,16405,9000,1260,1,27626,14884,42,659,6360,31934,13110,6734,6461,16961,10365,3893,0,5953,8892,28321,17565,8709,16086,7076,3106,4491,4934,2851,6201,12416,17206,2598,25460,13177,14033,40417,733,831,9497,3678,17726,47732,6493,1715,1,17161,16430,9691,16220,3021
May-05,May,12321,3353,11856,7846,48571,13666,7579,1066,2,24404,13355,28,574,5431,31098,9965,5192,5070,12669,8895,3186,0,4787,7969,22581,13083,7473,11314,5906,2485,4050,4203,2689,5345,9606,15489,2277,20443,10812,10971,32401,668,693,8057,2845,13941,46125,5013,1170,0,13528,14773,7282,10349,2531
Jun-05,Jun,13327,3159,11243,9550,47509,13691,7287,985,3,25239,13572,32,617,5685,33367,10172,4689,5071,13457,9898,2785,0,4795,7458,20251,14731,7523,12031,6024,2454,3937,3562,2488,5457,8153,16331,2198,19225,10360,11126,31555,723,567,8340,2693,15910,46327,5737,993,0,12382,15223,7172,8849,2671
Jul-05,Jul,13127,3645,12065,9374,47223,13416,6770,979,3,23984,13979,29,608,5034,33135,9921,4459,5229,14152,10106,3005,0,4851,7263,19723,14509,8396,11941,5557,2466,3939,3719,2545,5556,9342,16034,2143,19034,10887,9426,32467,699,620,8464,2866,19176,48647,4982,1073,0,14752,15110,7650,9213,2386
Aug-05,Aug,15538,4622,14352,11586,52317,16287,7387,1250,1,28295,16074,38,643,6561,46717,12306,5831,7402,17018,13554,3870,0,5970,8717,23858,19775,10134,16316,6836,3420,5064,4294,2745,6507,11401,20772,2953,22438,13888,11245,35736,863,661,10799,3804,21483,62684,6005,1276,0,15299,17770,9286,12809,3016
Sep-05,Sep,20197,3912,15856,14707,54442,17457,8148,1420,1,31383,18904,32,695,8182,48703,12692,7510,8410,18361,26526,5697,0,6881,8699,29906,25004,15027,16632,8370,4328,4884,5164,2843,6878,16273,22555,4012,23674,14354,15740,41556,865,835,11749,5096,19482,68955,8543,1900,0,17952,21271,11364,18423,3761
Oct-05,Oct,20520,4755,16169,15576,51604,18924,8620,1680,2,34047,22800,31,727,8066,41194,16567,10112,10030,20809,25247,7664,0,7843,9139,32181,28407,18258,22597,10170,5530,5806,6061,3200,7308,19351,25490,5305,26799,17076,13020,44662,733,902,12307,7305,19685,70654,8182,2203,0,20664,23060,13536,21909,3373
Nov-05,Nov,27894,3510,15342,20134,54120,19465,8546,1980,2,37841,31933,30,706,6660,42416,19068,12280,12536,25200,27168,4721,0,10141,8904,37692,19891,24836,24118,6552,5774,6400,5151,3823,7362,18353,29392,3359,35670,20091,13682,51365,748,945,15166,5338,25073,74176,8872,1908,16,24818,19780,17108,20572,3170
Dec-05,Dec,41364,4788,23033,25412,63213,24669,8523,2585,3,51940,52460,34,707,9718,59658,22781,15026,14331,33154,37074,5119,0,10289,8920,34511,21666,31069,30198,8671,7292,9532,5616,4171,10193,17863,41087,3645,38617,26701,20012,50324,742,972,21435,6027,36650,105829,14903,1879,23,31002,25168,17176,18543,5063
Jan-04,Jan,20486,2208,12922,13029,43460,14192,9205,1218,0,26510,20161,31,546,5156,56792,14800,9542,8278,19968,13432,3373,0,5159,9772,24467,15236,12365,16074,5428,3489,4237,4449,3180,6790,10198,23794,2141,26101,14758,10804,38117,548,831,10061,3202,18923,56561,5223,1125,0,16254,15605,10809,12078,2550
Feb-04,Feb,20266,2808,14127,14016,40636,14119,9993,1258,1,26760,21660,38,496,6102,51698,15525,8155,8417,21118,13736,3309,0,6478,8699,26973,16547,13855,17076,6509,3257,4469,4314,2981,7893,10565,25119,2239,30551,16590,11998,40847,610,799,11262,3685,19565,55899,6382,1515,0,17268,17819,11403,15590,2884
Mar-04,Mar,17249,3235,13258,11743,44793,16334,10574,1233,4,25583,18605,30,776,6787,51428,16306,9574,8254,18647,12159,4268,0,6345,10213,31287,22108,10511,17844,6886,3504,4817,5322,3433,6837,13372,23684,2661,31499,13570,13561,50690,630,1015,9952,3650,18284,50057,6241,1848,0,17099,19088,10544,19197,2965
Apr-04,Apr,13947,3722,12558,9213,43369,14576,8450,1144,2,22389,14456,44,705,6207,44701,12091,6552,6650,16778,9768,3495,0,5425,9429,27351,18774,8706,15981,6867,2832,4243,4894,3084,6401,12391,18815,2541,27076,12820,12187,41282,547,793,7790,3250,13966,46175,5528,1703,0,13583,15849,9383,15981,2815
May-04,May,12130,3152,11245,8050,42434,12521,7065,889,2,20687,12840,18,546,5511,35814,9872,4809,4995,12385,8793,2979,0,4098,7766,22636,14638,8104,11436,6249,2540,3896,3797,2482,5264,8938,15522,2256,20476,10224,10572,32281,515,721,6883,2884,12681,41897,5184,1224,0,12719,15218,6867,10699,2372
Jun-04,Jun,13032,2925,10589,8813,46403,12330,7486,926,0,21304,13483,29,602,4794,40789,10336,4560,5267,13113,9497,2937,0,4715,8088,21367,14621,7894,11619,6029,2528,3612,3647,2468,5284,8630,15936,1981,19919,10337,10109,32506,560,735,7092,2879,13387,41498,5068,1037,0,11764,14644,7174,9055,2544
Jul-04,Jul,14074,3345,11040,9360,43563,13110,7245,961,1,21187,14770,42,610,5165,35221,10325,4688,5569,14663,10579,3252,0,4942,8701,21704,13973,8779,12484,5726,2690,3978,4143,2373,5257,9185,16397,2135,19973,10916,9299,34235,639,664,7496,3020,15025,44473,5537,1229,0,14873,14383,7897,9639,2450
Aug-04,Aug,16287,4031,11904,11751,46906,15195,7356,1210,0,22860,16875,31,639,5810,45720,13324,5980,7075,17314,13080,4000,0,5900,8845,26368,18607,11411,15721,6807,3676,4159,4340,2796,6411,11732,23935,2796,23272,12935,10501,36989,615,684,9468,3976,18110,57014,6256,1290,0,16093,15147,9503,13542,2672
Sep-04,Sep,17444,3633,13086,13995,45463,17735,7721,1418,4,21139,18190,35,583,7700,42102,13109,7925,7890,18802,15586,6141,0,6887,9547,31051,26037,11372,16876,8286,4499,4877,5360,2983,6986,17011,22304,3825,24322,13706,15537,41867,584,851,10732,5341,18642,64339,7432,1977,0,18574,18092,10877,18953,3560
Oct-04,Oct,21176,4459,13582,16814,45571,22001,8925,1675,0,31051,23236,42,611,7776,55301,18095,10823,10937,23503,19403,8223,0,7932,9922,36516,28415,14717,23087,10075,6106,5179,6204,3519,7931,20235,24972,5179,29188,16290,13010,49783,743,986,11543,7385,21146,61431,7309,2588,0,22217,19747,15018,23097,3133
Nov-04,Nov,26699,3069,12565,19591,45685,17448,7890,2032,0,33432,22750,52,572,6131,65211,20618,11336,12394,26223,19747,5351,0,10069,9584,36273,18628,20374,23241,6277,6105,4796,5077,4103,6988,19705,28490,3297,37066,18383,12846,54967,729,985,12811,5218,24583,63937,7484,2029,0,23367,16530,17384,20830,2987
Dec-04,Dec,37207,3917,18843,21991,60560,24630,9006,2460,0,45122,35177,47,612,8414,65640,22119,14573,13281,32460,26641,5337,0,9531,12430,36425,20262,24206,27877,8406,7210,6491,5244,3974,9504,18260,37512,3639,37597,22659,19264,51249,992,990,19063,5833,35089,89714,12323,1925,0,29251,21310,15987,18436,4495
Jan-03,Jan,19179,2899,11548,12140,39285,13874,7761,1245,1,24477,22827,36,634,5490,40194,12210,9469,8389,18608,13823,2926,2,6851,11532,25766,12952,12472,15396,5354,3476,3789,3724,3673,6264,10516,21983,1960,21548,13362,10448,39610,641,790,10160,3171,18157,54023,4345,1047,0,15048,18476,9733,11173,2425
Feb-03,Feb,20440,2931,13568,13811,41724,15067,7900,1135,0,25659,27029,41,584,6017,43597,13569,7918,8099,21067,13942,3099,3,6717,10285,27025,14891,13657,17562,5831,3320,4022,3728,3354,7344,11406,23950,2083,26525,15749,11277,40231,587,803,11483,3417,21746,59258,5519,1518,0,15983,19550,11277,13885,2773
Mar-03,Mar,17213,2759,13234,11422,48429,15687,9597,1360,2,25487,23288,31,726,7171,46415,14360,8589,8450,18342,12808,3980,1,6938,13102,30012,19557,11064,16987,6752,3345,5029,4972,4025,7019,13245,21147,2501,28489,13211,13674,52909,648,875,10149,3650,18543,56761,5273,1854,0,17336,20934,10598,17626,2613
Apr-03,Apr,13240,3166,11516,9170,45508,13153,8253,1170,1,21214,16905,43,646,5898,43935,15798,6568,6371,15413,9360,3594,0,6242,10364,25693,16978,8174,14355,6605,2821,3835,4711,3491,5889,12154,17066,2375,22394,11771,11687,42563,773,831,7527,2889,13387,44287,4668,1648,0,13215,18172,9584,15527,2460
May-03,May,13175,2745,10819,8176,43667,13048,7860,1093,0,20763,16809,36,564,5362,33123,15645,4743,5156,14032,9408,3194,0,5019,12481,21821,15674,8148,11468,5954,2280,3693,4017,3373,5661,10359,15734,2170,19288,10286,10383,37419,744,737,7531,2720,13286,43876,4530,1263,0,13630,16493,8467,10513,2450
Jun-03,Jun,12709,2704,9724,7882,42438,13193,7265,1008,0,20222,16976,31,558,4867,27243,14414,4006,5008,12708,9410,2659,0,4917,10576,19730,16844,7679,10474,5518,2099,3151,3441,3087,5137,9404,15887,1929,17488,9650,9172,32905,559,625,7510,2601,13571,42514,6157,1108,0,11395,14947,7133,9258,2289
Jul-03,Jul,13173,2911,10256,8085,40846,12002,7741,972,3,19990,16995,16,584,4844,30227,11507,4438,4955,13348,10481,2903,0,4605,10566,20248,15858,8382,10987,5269,2148,3505,3470,2780,5433,8745,15547,1894,16800,9998,8552,32286,572,689,7181,2652,13434,45602,4223,1138,0,12439,14572,7573,9442,2165
Aug-03,Aug,17035,3915,12376,11464,45078,16323,7756,1236,0,24348,22256,23,598,6021,45035,12531,5539,7634,18267,14049,4202,0,5649,9915,24232,20094,12311,15286,6793,3372,4369,4517,3121,6957,10499,21568,2838,22423,14009,11410,38578,672,733,10259,3919,18585,64983,5376,1647,0,15365,16303,9555,13592,2699
Sep-03,Sep,17641,3150,11845,12916,42763,15308,8025,1266,0,23621,23349,16,703,7691,47580,13720,7735,8004,17307,16515,5938,0,5837,12672,33495,27540,11430,17426,8208,4111,3756,5711,3074,6395,14408,20031,4086,23788,12886,14543,43833,673,811,9906,5165,16340,63737,6529,2215,0,14928,18058,10656,20542,3422
Oct-03,Oct,20526,4110,12481,16301,43376,17450,10710,1671,1,26637,30028,39,666,7470,51128,17872,10194,10264,23222,20286,8319,0,7520,11515,38240,29185,15046,23725,10344,5625,4330,6144,3643,7665,17338,26582,4971,26800,16248,12698,51311,714,955,11100,7271,18831,65970,6534,2621,0,20115,19743,15458,24314,3062
Nov-03,Nov,25551,2506,11731,17620,41693,15438,8320,1944,1,27481,27622,25,547,5504,51054,20023,10925,11940,23773,19197,5166,0,9184,8552,36733,19386,19331,23531,6006,5629,4176,5352,4071,6673,17038,27707,3288,35612,18023,11970,55272,554,915,11422,4911,22810,60660,6606,2158,0,22905,16027,16434,22696,2699
Dec-03,Dec,35597,3263,16621,21262,49624,20714,9379,2261,2,38282,38134,42,629,8334,56386,22204,15003,13095,30782,26414,4917,0,8791,9835,39166,20769,23183,25668,8152,6532,5777,4937,4041,8703,15719,37286,3298,37477,22358,17146,48979,769,896,17124,5317,31093,86604,10747,1754,0,27911,20641,15309,20026,4127
Jan-02,Jan,18235,2212,11443,12226,58768,15152,8873,1249,1,23336,23126,26,549,5105,38829,16183,9000,7353,18641,11753,3079,3,5707,7623,29054,12887,11320,15370,5161,3514,3814,3793,3754,6343,12450,22798,1913,21797,12728,9866,42920,510,866,9771,2843,17736,50321,4583,1240,0,14014,13151,9397,11139,2462
Feb-02,Feb,18976,2255,12418,13724,56796,14328,7718,1219,0,25202,26624,26,586,5801,34238,16226,7644,7144,21575,12877,3224,0,6328,6471,29161,13211,13916,16993,5426,3279,3835,3566,3500,7086,11906,24556,1987,24203,14740,10659,44417,654,751,11629,3115,20354,51634,4699,1657,0,15358,14857,11808,13953,2701
Mar-02,Mar,17140,2924,12161,12332,58116,17092,8731,1279,1,23455,24030,35,539,6542,38538,17084,7878,7526,19630,11907,4056,1,5972,8054,31334,17144,11260,17197,5973,3242,4629,4460,4186,7472,13709,21416,2499,25101,12774,12438,54478,582,857,10318,3466,19597,49178,4959,2117,0,15481,15370,11248,17631,2758
Apr-02,Apr,12967,3264,10516,9702,55856,13722,8098,1084,1,20162,17898,20,931,5853,38283,15716,6366,5793,16031,9036,3487,6,5551,6297,29443,17114,8257,14706,6388,2707,3598,4089,3616,5747,15022,17383,2344,21786,11945,11695,46684,583,725,7629,3040,13784,42304,4404,1844,0,13285,15924,9510,14901,2572
May-02,May,13040,2895,10489,8448,58303,12508,7652,1030,2,19847,17226,24,868,5718,32981,14494,4642,5132,13687,9275,2894,1,4585,6806,23438,11362,7865,11360,5902,2236,3626,3424,3431,5725,10896,15989,1962,17170,9892,9588,40223,606,741,7517,2547,13289,42561,4021,1381,0,11665,15994,8140,9866,2495
Jun-02,Jun,12603,2550,9260,8030,51886,10878,6716,890,1,20361,16684,20,536,4963,27581,12326,3783,4655,12525,9143,2563,9,4565,6631,21044,9824,7560,9917,5075,1892,3084,3189,3001,5350,9681,16030,1892,15859,8872,9462,36303,617,676,6884,2206,12056,40367,3596,1041,0,10760,13910,6953,8427,2535
Jul-02,Jul,12674,2760,10056,8666,54488,11967,6262,971,0,19510,17014,18,676,4768,31426,12973,4348,4691,13240,10228,2782,12,4761,6376,21077,10721,8200,10623,4958,2290,3327,3286,2795,5585,9230,16372,1782,17474,9486,8202,38259,670,667,7167,2267,13248,42810,3569,1159,0,11908,14102,7825,8218,2227
Aug-02,Aug,17453,3753,13140,11892,56621,16702,7252,1262,0,23710,21831,33,652,6968,37385,16470,5558,7554,18976,15557,3944,1,5869,7485,25209,17376,12576,15419,6667,3013,3971,4205,3252,6710,10578,23077,2642,24991,13008,11110,44403,838,740,10757,3898,18777,62213,4662,1448,0,15177,16150,9931,12972,2972
Sep-02,Sep,17961,3027,12274,12525,52881,16030,7020,1330,0,22695,22988,18,599,7757,36661,12951,7427,7710,17645,15930,6209,0,6570,7535,32557,23195,11359,15415,7883,3646,3781,4704,3095,6258,15457,21396,3642,25414,12384,14680,47875,808,791,10135,4579,16574,63116,5598,2021,0,15936,17315,11584,18039,3290
Oct-02,Oct,19568,4699,13141,16176,52756,18322,9534,1778,0,26362,28409,30,693,7246,41917,16997,10199,10404,22037,18538,7990,2,8863,12415,37430,24486,14169,22358,9557,5639,4310,5715,3961,8058,18629,26629,4475,29493,15477,12187,58871,978,959,10848,6422,19767,66213,5922,2586,1,20438,19637,15209,21361,3252
Nov-02,Nov,26757,2801,12430,19391,54868,17115,8167,2067,0,28505,28433,40,554,5704,45317,19152,10295,12763,25714,20779,4843,0,10339,10705,37755,17579,20891,23745,6254,5473,3975,4747,4531,7321,17417,29216,3168,37101,17983,11606,62360,630,918,12360,4888,26066,69561,6100,2245,0,22305,17503,18015,20334,2755
Dec-02,Dec,33634,3653,14932,20312,73051,19938,7575,2229,1,35703,40938,14,624,7637,42982,17663,13218,13385,29722,24557,4851,0,9654,8426,36038,17493,22575,24887,7078,6246,5205,4488,4196,8402,15952,34054,3033,36644,20200,16020,50909,672,830,16961,5011,31800,84467,9597,1744,0,25462,19526,15226,16938,3566
Jan-01,Jan,17733,2409,11279,12669,60935,23654,7118,1096,0,23164,26033,28,684,5395,36000,12951,8747,7760,17820,12131,2587,20,5579,5293,23873,11063,11451,14123,4342,3221,3675,2858,3187,6254,11329,23334,1929,19819,12757,9562,34202,402,768,10507,2306,17548,51492,4637,1030,0,13793,11703,9167,10043,2456
Feb-01,Feb,18828,2343,12700,14916,58904,23686,6485,1077,1,22384,28181,21,587,5802,34322,13402,7100,7392,20955,12930,2633,0,6351,5064,24752,11855,14112,15936,5076,2906,3868,2740,2897,7537,11505,24393,1893,22710,14633,10541,36228,439,775,11912,2359,19682,51017,5574,1460,0,15198,11536,10844,13312,2598
Mar-01,Mar,18034,2912,12450,13680,65127,29331,7482,1234,3,23281,27325,23,601,6379,39288,14906,8202,8141,20312,12527,3363,9,6170,5747,28472,17194,12301,16461,6185,3305,4324,3165,3413,7669,14679,22405,2372,24668,13004,12324,44975,493,779,10859,3066,20878,52984,5295,1750,0,15645,13278,11306,17988,2713
Apr-01,Apr,12565,3398,10565,9014,77120,23024,6894,929,3,19361,18481,33,623,5517,30716,11399,5676,5507,14259,8474,3270,0,5105,4747,23859,14891,8356,12672,5718,2370,3392,3236,2704,5731,12965,16310,2132,18712,10670,10977,36360,404,720,7276,2292,12402,38409,4622,1615,0,11970,11289,8399,14239,2390
May-01,May,12138,2965,10058,8581,76603,21077,6879,918,3,18478,17775,26,620,5392,28069,10842,4284,4860,12909,8720,2570,6,4211,4780,18682,10389,7929,10300,5300,2116,3516,2477,2691,5457,10226,15681,1869,15075,9219,9033,30679,524,598,7511,2030,12283,40931,3728,1031,0,11315,10471,7406,8868,2338
Jun-01,Jun,13220,2626,10025,8588,66811,21850,6339,852,2,19021,18300,24,499,4852,27854,18746,3987,4899,13848,10172,2421,0,4950,4307,17873,9756,8824,10642,5264,2111,3555,2480,2417,5531,10320,16492,1786,15312,9283,10431,29275,537,580,7518,2174,12826,39412,4130,1059,0,11170,11110,7652,8425,2231
Jul-01,Jul,12972,3198,9753,8818,63395,21457,5753,813,0,19017,18632,28,466,4874,32121,14374,3989,4842,13077,10495,2886,13,4521,4243,24629,10649,8578,10427,4779,2246,3491,2824,2139,5331,9332,16277,1792,13934,9212,8517,28635,590,566,7560,2238,12699,40143,3584,1193,0,11535,10940,7603,8841,2285
Aug-01,Aug,17684,3902,11822,13289,71416,28926,6175,1101,0,22195,25011,35,658,6228,39017,17113,5333,7090,19612,15894,3994,85,5471,4528,29598,17366,13808,15539,6424,3158,3916,3402,2662,7009,11972,23803,2546,20725,13501,10936,35334,868,766,11241,3341,18714,61054,4901,1416,0,13733,12833,10176,13619,3070
Sep-01,Sep,21407,3784,14501,15356,72914,36990,7855,1764,1,29526,30179,21,529,8312,38726,16272,8139,8493,20022,18421,6996,9,8124,5533,42150,26158,12940,18019,8365,4633,5290,5627,3350,7704,19150,25304,4157,29848,14475,16615,49455,736,1163,12067,4961,19482,69653,7117,2506,0,17970,16619,12520,21972,3948
